sst,Latitude,Longitude,Date,Data_Type,Site,Reef_Site,mmm_climatology,mmm_climatology_as_at,hotspot,degree_heating_day_mmm_climatology,degree_heating_week_mmm_climatology,year,mmm_from_sst,mmm_from_sst_year_range,degree_heating_day_mmm_from_sst,degree_heating_week_mmm_from_sst,dhw_threshold,DHW_value,accum_DHW_12weeks
28.45,-12.095,96.8805,1985-03-01,Coral Core Sr/Ca Proxy,Cocos (Keeling) Islands,DAR3,28.359999366104603,2019-01-01,0.7535257296466966,0,0,1990,27.696474270353303,1985_to_1990,0,0,1,0,0
28.45,-12.095,96.8805,1985-03-02,Coral Core Sr/Ca Proxy,Cocos (Keeling) Islands,DAR3,28.359999366104603,2019-01-01,0.7535257296466966,0,0,1990,27.696474270353303,1985_to_1990,0,0,1,0,0
28.59,-12.095,96.8805,1985-03-03,Coral Core Sr/Ca Proxy,Cocos (Keeling) Islands,DAR3,28.359999366104603,2019-01-01,0.8935257296466972,0,0,1990,27.696474270353303,1985_to_1990,0,0,1,0,0
28.51,-12.095,96.8805,1985-03-04,Coral Core Sr/Ca Proxy,Cocos (Keeling) Islands,DAR3,28.359999366104603,2019-01-01,0.8135257296466989,0,0,1990,27.696474270353303,1985_to_1990,0,0,1,0,0
28.3,-12.095,96.8805,1985-03-05,Coral Core Sr/Ca Proxy,Cocos (Keeling) Islands,DAR3,28.359999366104603,2019-01-01,0.603525729646698,0,0,1990,27.696474270353303,1985_to_1990,0,0,1,0,0
28.14,-12.095,96.8805,1985-03-06,Coral Core Sr/Ca Proxy,Cocos (Keeling) Islands,DAR3,28.359999366104603,2019-01-01,0.4435257296466979,0,0,1990,27.696474270353303,1985_to_1990,0,0,1,0,0
28.48,-12.095,96.8805,1985-03-07,Coral Core Sr/Ca Proxy,Cocos (Keeling) Islands,DAR3,28.359999366104603,2019-01-01,0.7835257296466978,0,0,1990,27.696474270353303,1985_to_1990,0,0,1,0,0
29.15,-12.095,96.8805,1985-03-08,Coral Core Sr/Ca Proxy,Cocos (Keeling) Islands,DAR3,28.359999366104603,2019-01-01,1.453525729646696,0,0,1990,27.696474270353303,1985_to_1990,1.453525729646696,0.20764653280667084,1,1.2076465328066708,0
29.4,-12.095,96.8805,1985-03-09,Coral Core Sr/Ca Proxy,Cocos (Keeling) Islands,DAR3,28.359999366104603,2019-01-01,1.703525729646696,1.0400006338953958,0.1485715191279137,1990,27.696474270353303,1985_to_1990,1.703525729646696,0.24336081852095656,1,1.2433608185209566,0
29.55,-12.095,96.8805,1985-03-10,Coral Core Sr/Ca Proxy,Cocos (Keeling) Islands,DAR3,28.359999366104603,2019-01-01,1.853525729646698,1.190000633895398,0.1700000905564854,1990,27.696474270353303,1985_to_1990,1.853525729646698,0.2647893899495283,1,1.2647893899495282,0
