sst,Latitude,Longitude,Date,end_date,Data_Type,Site,Reef_Site,date
30.79,-14.121,123.5467277,1985-05-06,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-May
30.26,-14.121,123.5467277,1985-05-07,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-May
29.990000000000002,-14.121,123.5467277,1985-05-08,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-May
29.93,-14.121,123.5467277,1985-05-09,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-May
30.64,-14.121,123.5467277,1985-05-10,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-May
30.94,-14.121,123.5467277,1985-05-11,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-May
30.92,-14.121,123.5467277,1985-05-12,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-May
31.11,-14.121,123.5467277,1985-05-13,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-May
31.27,-14.121,123.5467277,1985-05-14,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-May
30.77,-14.121,123.5467277,1985-05-15,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-May
30.29,-14.121,123.5467277,1985-05-16,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-May
30.060000000000002,-14.121,123.5467277,1985-05-17,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-May
29.25,-14.121,123.5467277,1985-05-18,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-May
29.03,-14.121,123.5467277,1985-05-19,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-May
29.07,-14.121,123.5467277,1985-05-20,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-May
28.88,-14.121,123.5467277,1985-05-21,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-May
28.62,-14.121,123.5467277,1985-05-22,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-May
28.34,-14.121,123.5467277,1985-05-23,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-May
28.35,-14.121,123.5467277,1985-05-24,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-May
28.19,-14.121,123.5467277,1985-05-25,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-May
28.3,-14.121,123.5467277,1985-05-26,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-May
28.330000000000002,-14.121,123.5467277,1985-05-27,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-May
28.11,-14.121,123.5467277,1985-05-28,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-May
27.89,-14.121,123.5467277,1985-05-29,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-May
28.01,-14.121,123.5467277,1985-05-30,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-May
28.26,-14.121,123.5467277,1985-05-31,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-May
28.72,-14.121,123.5467277,1985-06-01,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Jun
28.52,-14.121,123.5467277,1985-06-02,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Jun
28.5,-14.121,123.5467277,1985-06-03,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Jun
28.28,-14.121,123.5467277,1985-06-04,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Jun
28.22,-14.121,123.5467277,1985-06-05,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Jun
28.03,-14.121,123.5467277,1985-06-06,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Jun
27.45,-14.121,123.5467277,1985-06-07,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Jun
27.78,-14.121,123.5467277,1985-06-08,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Jun
28.02,-14.121,123.5467277,1985-06-09,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Jun
28.01,-14.121,123.5467277,1985-06-10,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Jun
27.27,-14.121,123.5467277,1985-06-11,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Jun
27.36,-14.121,123.5467277,1985-06-12,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Jun
27.69,-14.121,123.5467277,1985-06-13,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Jun
27.91,-14.121,123.5467277,1985-06-14,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Jun
27.55,-14.121,123.5467277,1985-06-15,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Jun
28.2,-14.121,123.5467277,1985-06-16,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Jun
28.73,-14.121,123.5467277,1985-06-17,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Jun
29.05,-14.121,123.5467277,1985-06-18,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Jun
28.89,-14.121,123.5467277,1985-06-19,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Jun
28.36,-14.121,123.5467277,1985-06-20,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Jun
28.32,-14.121,123.5467277,1985-06-21,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Jun
28.39,-14.121,123.5467277,1985-06-22,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Jun
27.88,-14.121,123.5467277,1985-06-23,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Jun
27.560000000000002,-14.121,123.5467277,1985-06-24,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Jun
28.11,-14.121,123.5467277,1985-06-25,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Jun
28.900000000000002,-14.121,123.5467277,1985-06-26,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Jun
29.22,-14.121,123.5467277,1985-06-27,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Jun
28.54,-14.121,123.5467277,1985-06-28,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Jun
28.22,-14.121,123.5467277,1985-06-29,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Jun
28.29,-14.121,123.5467277,1985-06-30,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Jun
28.37,-14.121,123.5467277,1985-07-01,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Jul
