sst,Latitude,Longitude,Date,end_date,Data_Type,Site,Reef_Site,date
26.35,-21.91,113.97,1985-05-27,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-May
25.78,-21.91,113.97,1985-05-28,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-May
26.66,-21.91,113.97,1985-05-29,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-May
27.080000000000002,-21.91,113.97,1985-05-30,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-May
27.27,-21.91,113.97,1985-05-31,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-May
27.75,-21.91,113.97,1985-06-01,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-Jun
27.52,-21.91,113.97,1985-06-02,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-Jun
27.23,-21.91,113.97,1985-06-03,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-Jun
26.900000000000002,-21.91,113.97,1985-06-04,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-Jun
26.990000000000002,-21.91,113.97,1985-06-05,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-Jun
27.13,-21.91,113.97,1985-06-06,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-Jun
27.26,-21.91,113.97,1985-06-07,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-Jun
26.69,-21.91,113.97,1985-06-08,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-Jun
26.61,-21.91,113.97,1985-06-09,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-Jun
26.44,-21.91,113.97,1985-06-10,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-Jun
26.95,-21.91,113.97,1985-06-11,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-Jun
26.94,-21.91,113.97,1985-06-12,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-Jun
26.5,-21.91,113.97,1985-06-13,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-Jun
26.14,-21.91,113.97,1985-06-14,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-Jun
26.060000000000002,-21.91,113.97,1985-06-15,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-Jun
25.37,-21.91,113.97,1985-06-16,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-Jun
26.32,-21.91,113.97,1985-06-17,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-Jun
26.11,-21.91,113.97,1985-06-18,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-Jun
26.04,-21.91,113.97,1985-06-19,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-Jun
25.7,-21.91,113.97,1985-06-20,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-Jun
25.47,-21.91,113.97,1985-06-21,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-Jun
25.42,-21.91,113.97,1985-06-22,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-Jun
25.38,-21.91,113.97,1985-06-23,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-Jun
25.25,-21.91,113.97,1985-06-24,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-Jun
25.57,-21.91,113.97,1985-06-25,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-Jun
26.16,-21.91,113.97,1985-06-26,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-Jun
26.73,-21.91,113.97,1985-06-27,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-Jun
26.46,-21.91,113.97,1985-06-28,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-Jun
25.8,-21.91,113.97,1985-06-29,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-Jun
25.44,-21.91,113.97,1985-06-30,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-Jun
24.75,-21.91,113.97,1985-07-01,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-Jul
24.51,-21.91,113.97,1985-07-02,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-Jul
24.23,-21.91,113.97,1985-07-03,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-Jul
24.21,-21.91,113.97,1985-07-04,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-Jul
24.79,-21.91,113.97,1985-07-05,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-Jul
